Timestamp,X_Accel_g,Y_Accel_g,Z_Accel_g
369,0.876465,0.363281,-0.442871
370,0.883301,0.392578,-0.404785
371,0.898926,0.353516,-0.436523
372,0.892578,0.357422,-0.416504
373,0.897949,0.345215,-0.412598
374,0.989258,0.325684,-0.402832
375,0.960449,0.395508,-0.388672
376,0.837891,0.438965,-0.445312
377,0.733398,0.527344,-0.460938
378,0.753906,0.519531,-0.510742
379,0.723145,0.5,-0.600586
380,0.679688,0.519043,-0.601074
381,0.706055,0.501465,-0.660156
382,0.633789,0.458008,-0.716309
383,0.54541,0.393555,-0.760742
384,0.510254,0.384766,-0.836426
385,0.471191,0.250488,-0.927734
386,0.399902,0.230469,-0.918945
387,0.353516,0.166016,-1.003906
388,0.234863,0.125,-1.018555
389,0.145508,0.025391,-1.039062
390,0.100098,0.036133,-1.056152
391,0.028809,-0.019043,-1.043457
392,0.038574,-0.015137,-1.055176
393,-0.047363,-0.016602,-1.052734
394,-0.07666,0.018066,-1.038086
395,-0.041504,0.019043,-1.064941
396,-0.05127,-0.024414,-1.04248
397,-0.144531,-0.036621,-1.028809
398,-0.188965,-0.082031,-1.023438
399,-0.258789,-0.057129,-1.043945
400,-0.255371,-0.073242,-1.023438
401,-0.29248,-0.125488,-1.016113
402,-0.353027,-0.119629,-0.965332
403,-0.387695,-0.13916,-0.961426
404,-0.394531,-0.14209,-0.955078
405,-0.487793,-0.109863,-0.890137
406,-0.512695,-0.123535,-0.884766
407,-0.442871,-0.137695,-0.966309
408,-0.312012,-0.080566,-0.950684
409,-0.432129,-0.069336,-0.979492
410,-0.327637,-0.032227,-0.963379
411,-0.34668,-0.037598,-0.98584
412,-0.294922,0.038574,-0.988281
413,-0.275879,0.086426,-0.991699
414,-0.216309,0.175293,-1.016602
415,-0.263184,0.292969,-1.049805
416,-0.249512,0.356934,-0.945312
417,-0.331543,0.470703,-0.85791
418,-0.342285,0.535156,-0.812012
419,-0.375488,0.519531,-0.800781
420,-0.362793,0.536621,-0.790039
421,-0.355469,0.498535,-0.827148
422,-0.434082,0.471191,-0.700195
423,-0.351562,0.375977,-0.826172
424,-0.230957,0.445801,-0.967285
425,-0.255859,0.410156,-0.897949
426,-0.212891,0.33252,-0.972656
427,-0.203613,0.304688,-0.979492
428,-0.185059,0.356445,-0.991211
429,-0.23877,0.432129,-0.90625
430,-0.211914,0.391602,-0.930176
431,-0.20166,0.383789,-0.929199
432,-0.22998,0.37793,-0.907715
433,-0.226562,0.445801,-0.880371
434,-0.156738,0.463867,-0.942383
435,-0.156738,0.37793,-0.93457
436,-0.173828,0.332031,-0.959961
437,-0.166016,0.425781,-0.950684
438,-0.197266,0.452148,-0.904297
439,-0.157227,0.504395,-0.93457
440,-0.197754,0.503906,-0.89502
441,-0.214844,0.496582,-0.875488
442,-0.305176,0.541016,-0.736816
443,-0.243652,0.613281,-0.785156
444,-0.13623,0.671387,-0.856445
445,-0.148438,0.655762,-0.819824
446,-0.122559,0.630859,-0.834961
447,-0.105469,0.580566,-0.896973
448,-0.165039,0.552734,-0.79541
449,-0.187988,0.512207,-0.793945
450,-0.054199,0.618164,-0.864258
451,-0.083008,0.689941,-0.784668
452,-0.075195,0.77832,-0.723145
453,-0.133301,0.553223,-0.818848
454,-0.055176,0.278809,-0.986328
455,0.023926,-0.032715,-1.016602
456,-0.020996,-0.257812,-0.933105
457,-0.319824,-0.385254,-1.147461
458,0.008301,-0.439453,-0.960449
459,0.061523,-0.577637,-0.973633
460,-0.141602,-0.651367,-0.789062
461,-0.164551,-0.68457,-0.762207
462,-0.205566,-0.719727,-0.712891
463,-0.202148,-0.741211,-0.696777
464,-0.252441,-0.785645,-0.624023
465,-0.219727,-0.775879,-0.649414
466,-0.270508,-0.740723,-0.641602
467,-0.256348,-0.740234,-0.666504
468,-0.265137,-0.757812,-0.603027
469,-0.231445,-0.825684,-0.562012
470,-0.20752,-0.912109,-0.470215
471,-0.256348,-0.877441,-0.4375
472,-0.340332,-0.938965,-0.312012
