Timestamp,X_Accel_g,Y_Accel_g,Z_Accel_g
645,-0.427734,-0.735352,-0.615234
646,-0.425293,-0.787598,-0.498047
647,-0.397949,-0.829102,-0.377441
648,-0.361328,-0.878906,-0.25
649,-0.304199,-0.941895,-0.135742
650,-0.213867,-0.996094,-0.074219
651,-0.080566,-0.991699,0.047852
652,0.05957,-1.012695,0.126465
653,0.126465,-0.94873,0.236816
654,0.190918,-0.926758,0.373047
655,0.210449,-0.901367,0.42334
656,0.283203,-0.845215,0.324219
657,0.335938,-0.806152,0.450684
658,0.45752,-0.662598,0.514648
659,0.567871,-0.599609,0.667969
660,0.631348,-0.481445,0.601562
661,0.782227,-0.280762,0.489746
662,0.828613,-0.126953,0.638672
663,0.827637,-0.000977,0.580566
664,0.848145,0.082031,0.561523
665,0.841309,0.22998,0.474609
666,0.860352,0.349609,0.389648
667,0.865723,0.475098,0.276855
668,0.817383,0.562988,0.192383
669,0.79541,0.619141,0.088867
670,0.742188,0.685059,-0.032715
671,0.712402,0.729492,-0.126953
672,0.678223,0.734375,-0.214355
673,0.641113,0.759766,-0.319336
674,0.601074,0.735352,-0.316895
675,0.520996,0.718262,-0.534668
676,0.494141,0.67041,-0.599121
677,0.437012,0.644043,-0.680664
678,0.40918,0.563965,-0.737793
679,0.409668,0.550781,-0.785156
680,0.364746,0.523438,-0.807617
681,0.294434,0.449219,-0.834961
682,0.129883,0.416992,-0.924316
683,-0.038574,0.343262,-0.96582
684,-0.272949,0.243164,-0.98291
685,-0.339355,0.212402,-0.965332
686,-0.359375,0.157227,-0.916016
687,-0.471191,0.059082,-0.91748
688,-0.46582,0.125488,-0.890137
689,-0.513672,-0.003906,-0.84668
690,-0.499023,-0.13916,-0.867676
691,-0.524902,-0.260254,-0.803223
692,-0.489746,-0.351074,-0.841309
693,-0.460449,-0.289551,-0.837402
694,-0.494629,-0.073242,-0.805176
695,-0.47168,-0.566406,-0.724121
696,-0.485352,-0.625,-0.604004
697,-0.499023,-0.783203,-0.461914
698,-0.471191,-0.787109,-0.370117
699,-0.427246,-0.835449,-0.289551
700,-0.369629,-0.86084,-0.257324
701,-0.374023,-0.888184,-0.145508
702,-0.367188,-0.927734,-0.02832
703,-0.387207,-0.910645,0.056152
704,-0.411133,-0.948242,0.211914
705,-0.527344,-0.779785,0.382812
706,-0.70459,-0.667969,0.311523
707,-0.780762,-0.496582,0.350586
708,-0.843262,-0.429199,0.283691
709,-0.864258,-0.384766,0.219727
710,-0.873535,-0.237793,0.080566
711,-0.956055,-0.166992,0.095703
712,-0.96582,-0.051758,0.040527
713,-0.957031,0.066895,0.004883
714,-0.935547,0.246582,-0.035156
715,-0.904785,0.295898,-0.06543
716,-0.925781,0.342773,-0.083008
717,-0.885254,0.482422,-0.15918
718,-0.807129,0.546875,-0.185547
719,-0.679199,0.741211,-0.135742
720,-0.417969,0.907715,-0.13916
721,-0.304688,0.989746,-0.141602
722,-0.225586,0.993652,-0.150879
723,-0.141602,0.978516,-0.145996
724,0.060059,1.019043,-0.094727
725,0.149414,1.000488,-0.058594
726,0.224609,1.022949,-0.09668
727,0.310547,0.98291,-0.04541
728,0.380371,0.916992,0.016602
729,0.416016,0.843262,0.002441
730,0.486328,0.828125,0.048828
731,0.569336,0.936035,-0.079102
732,0.634766,0.850098,0.043945
733,0.691895,0.746582,-0.021973
734,0.76709,0.644531,-0.032715
735,0.858887,0.561523,-0.054688
736,0.955078,0.449707,-0.039551
737,1.009766,0.327148,-0.099121
738,1.006836,0.109375,-0.149414
739,0.978027,0.027344,-0.253906
740,0.966797,-0.075195,-0.325684
741,0.88916,-0.55957,-0.452637
742,0.891113,-0.333984,-0.446289
743,0.817383,-0.400879,-0.494141
