Timestamp,X_Accel_g,Y_Accel_g,Z_Accel_g linked with dados_accel_25_08_full
504,0.621582,-0.716309,0.309082
505,0.636719,-0.755371,0.224121
506,0.555664,-0.830078,0.177734
507,0.569824,-0.851074,0.147461
508,0.475098,-0.881348,0.116699
509,0.4375,-0.894043,0.031738
510,0.439453,-0.851562,-0.04834
511,0.463379,-0.885742,-0.091797
512,0.455566,-0.912109,-0.197266
513,0.485352,-0.851562,-0.251465
514,0.560547,-0.844727,-0.298828
515,0.461914,-0.769531,-0.336426
516,0.492188,-0.790039,-0.38916
517,0.466797,-0.808594,-0.471191
518,0.411621,-0.813965,-0.499023
519,0.327148,-0.832031,-0.536133
520,0.347168,-0.804199,-0.650879
521,0.23584,-0.846191,-0.726562
522,0.160156,-0.771484,-0.705078
523,0.138184,-0.720703,-0.743164
524,0.095215,-0.632812,-0.729004
525,0.062988,-0.630859,-0.866211
526,-0.004883,-0.577637,-0.843262
527,-0.126953,-0.525391,-0.861816
528,-0.206543,-0.519043,-0.879883
529,-0.277832,-0.469727,-0.887207
530,-0.254883,-0.516113,-0.891113
531,-0.297852,-0.498535,-0.850586
532,-0.357422,-0.495605,-0.834473
533,-0.365234,-0.462891,-0.802246
534,-0.361816,-0.491699,-0.820312
535,-0.396484,-0.530273,-0.809082
536,-0.388672,-0.546875,-0.727539
537,-0.385742,-0.646973,-0.61377
538,-0.434082,-0.76123,-0.523438
539,-0.435059,-0.821777,-0.402832
540,-0.419434,-0.853027,-0.308594
541,-0.365723,-0.899414,-0.236816
542,-0.317871,-0.945801,-0.131348
543,-0.283203,-0.95459,-0.055664
544,-0.27832,-0.984863,-0.003418
545,-0.249023,-0.961914,0.044922
546,-0.209961,-0.959473,0.075684
547,-0.180664,-0.955566,0.12207
548,-0.217285,-0.96875,0.149902
549,-0.236328,-0.949219,0.181641
550,-0.28125,-0.937012,0.171875
551,-0.316895,-0.943848,0.141602
552,-0.361328,-0.945312,-0.012207
553,-0.346191,-0.921875,-0.097168
554,-0.361328,-0.915039,-0.166016
555,-0.339355,-0.910156,-0.256348
556,-0.337402,-0.921387,-0.283691
557,-0.330566,-0.926758,-0.250488
558,-0.36084,-0.913574,-0.116699
559,-0.351562,-0.912598,0.04248
560,-0.354492,-0.912598,0.173828
561,-0.326172,-0.881836,0.259277
562,-0.304688,-0.882324,0.357422
563,-0.303223,-0.848145,0.422852
564,-0.320312,-0.788574,0.490723
565,-0.425293,-0.746582,0.502441
566,-0.492676,-0.722168,0.465332
567,-0.536133,-0.674805,0.438965
568,-0.644043,-0.617188,0.460938
569,-0.691895,-0.581055,0.396484
570,-0.744141,-0.51123,0.333008
571,-0.782715,-0.491699,0.287598
572,-0.822266,-0.519043,0.163574
573,-0.810547,-0.545898,0.056641
574,-0.799316,-0.569336,-0.026367
575,-0.787109,-0.611816,-0.108887
576,-0.778809,-0.619141,-0.190918
577,-0.733887,-0.613281,-0.296387
578,-0.662598,-0.628418,-0.371094
579,-0.612305,-0.644043,-0.474121
580,-0.543945,-0.603027,-0.515137
581,-0.557129,-0.603027,-0.624512
582,-0.473145,-0.54834,-0.661621
583,-0.571289,-0.513184,-0.768066
584,-0.519531,-0.403809,-0.87793
585,-0.359863,-0.231445,-0.895996
586,-0.266602,-0.154785,-0.93457
587,-0.198242,-0.046875,-1.024414
588,-0.072266,0.04834,-1.007812
589,0.075195,0.114258,-1.077637
590,0.202637,0.145508,-0.967773
591,0.27832,0.285156,-0.94873
592,0.284668,0.41748,-0.910156
593,0.221191,0.575195,-0.832031
594,0.227539,0.684082,-0.75
595,0.186035,0.720215,-0.719727
596,0.132812,0.815918,-0.617188
597,0.195312,0.888672,-0.547363
598,0.335938,0.833496,-0.490234
599,0.546387,0.764648,-0.403809
600,0.727539,0.656738,-0.285156
601,0.838867,0.557129,-0.214844
602,0.87793,0.518066,-0.226074
603,0.877441,0.450195,-0.29541
604,0.861816,0.4375,-0.371582
605,0.831543,0.458496,-0.472656
606,0.6875,0.428711,-0.599609
607,0.536621,0.441895,-0.73584
608,0.344727,0.371582,-0.742188
609,0.166504,0.369141,-0.963379
610,0.036133,0.405762,-0.963379
611,-0.095215,0.390625,-0.89502
612,-0.230469,0.412598,-0.943359
613,-0.240723,0.461914,-0.90918
614,-0.238281,0.519531,-0.856445
615,-0.253906,0.521484,-0.821777
616,-0.315918,0.510254,-0.818848
617,-0.369141,0.432129,-0.813965
618,-0.39209,0.422852,-0.834961
619,-0.438965,0.458008,-0.803711
620,-0.462402,0.48584,-0.751953
621,-0.478027,0.531738,-0.728516
622,-0.480469,0.585449,-0.652832
623,-0.48291,0.65332,-0.618164
624,-0.495605,0.674805,-0.544434
625,-0.498047,0.707031,-0.502441
626,-0.474121,0.772949,-0.445312
627,-0.456055,0.789551,-0.399414
628,-0.419922,0.822754,-0.353516
629,-0.40625,0.838867,-0.335449
630,-0.37793,0.864258,-0.342285
631,-0.317871,0.89502,-0.319336
632,-0.254883,0.895996,-0.290039
633,-0.211914,0.950684,-0.259277
634,-0.206055,0.928711,-0.167969
635,-0.149414,0.975586,-0.173828
636,-0.12793,0.993652,-0.12793
637,-0.103516,0.970703,-0.088379
638,-0.034668,1.007812,-0.022949
639,0.001953,0.98584,0.015625
640,0.037598,1.006836,0.074219
641,0.108887,0.992188,0.123047
642,0.318359,0.947266,0.05957
643,0.266602,0.937988,0.221191
644,0.351562,0.921875,0.212891
645,0.449219,0.876465,0.255371
646,0.51123,0.807617,0.276855
647,0.592773,0.751953,0.297363
648,0.677734,0.689453,0.307617
649,0.765137,0.615234,0.294434
650,0.817383,0.509277,0.277344
651,0.952637,0.433594,0.192383
652,0.936523,0.378418,0.135742
653,0.977539,0.307617,0.047852
654,1.029785,0.23877,-0.061035
655,0.955078,0.195801,-0.145996
656,0.998047,0.128418,-0.234863
657,0.977051,0.114258,-0.330566
658,0.956055,0.097168,-0.384766
659,0.936035,0.146484,-0.463867
660,0.931641,0.088379,-0.461426
661,0.796387,-0.139648,-0.493164
662,0.877441,-0.052246,-0.633789
663,0.81543,-0.083008,-0.580078
664,0.76416,-0.19873,-0.688477
665,0.777832,-0.23877,-0.665527
666,0.738281,-0.258789,-0.689453
667,0.731445,-0.179199,-0.712402
668,0.746582,-0.086426,-0.711914
669,0.783203,-0.024902,-0.709473
670,0.768555,0.056152,-0.714844
671,0.745117,0.160156,-0.708008
672,0.70752,0.205566,-0.720215
673,0.639648,0.369141,-0.719238
674,0.544922,0.42041,-0.779785
675,0.45166,0.52002,-0.775391
676,0.308594,0.592285,-0.798828
677,0.225586,0.60498,-0.78418
678,0.138672,0.665039,-0.797363
679,0.04541,0.71582,-0.756348
680,-0.039551,0.707031,-0.711914
681,-0.10498,0.726074,-0.701172
682,-0.17334,0.72998,-0.695801
683,-0.261719,0.713867,-0.65918
684,-0.277344,0.73877,-0.633301
685,-0.339844,0.74707,-0.594727
686,-0.386719,0.745117,-0.550781
687,-0.452148,0.758789,-0.505371
688,-0.442871,0.772461,-0.460449
689,-0.424805,0.787598,-0.402344
690,-0.390625,0.844238,-0.321777
691,-0.387207,0.884766,-0.250977
692,-0.377441,0.885742,-0.237305
693,-0.381836,0.900879,-0.158203
694,-0.389648,0.907227,-0.115234
695,-0.363281,0.928711,-0.069824
696,-0.303711,0.948242,-0.089844
697,-0.215332,0.968262,-0.107422
698,-0.185547,0.953125,-0.121582
699,-0.196289,0.958496,-0.099121
700,-0.226562,0.966309,-0.088379
701,-0.227539,0.888184,-0.084473
702,-0.205566,0.997559,0.033691
703,-0.146484,0.934082,0.043945
704,-0.037598,1.022461,0.134277
705,-0.009766,0.969727,0.143555
706,0.068848,0.945801,0.166992
707,0.145996,0.967285,0.13623
708,0.260254,0.97168,0.162109
709,0.42334,0.916992,0.143555
710,0.552246,0.844238,0.163574
711,0.57373,0.800293,0.098145
712,0.681641,0.766113,0.028809
713,0.685059,0.719727,0.083496
714,0.711426,0.699219,0.081055
715,0.741699,0.709473,0.071777
716,0.663574,0.734863,0.046387
717,0.638672,0.792969,0.041992
718,0.516113,0.869141,-0.007812
719,0.40332,0.913086,-0.054688
720,0.355957,0.948242,-0.068848
721,0.296875,0.94873,-0.027832
722,0.261719,0.988281,0.035645
723,0.209961,0.977051,0.0625
724,0.168457,0.975586,0.076172
725,0.138184,0.983398,0.102539
726,0.119629,0.970703,0.133789
727,0.108398,0.969727,0.183105
728,0.078613,0.959961,0.218262
729,0.055176,0.963867,0.218262
730,0.010254,0.969238,0.217285
731,0.001953,0.962402,0.193359
732,-0.044434,0.972656,0.186523
733,-0.070801,0.981934,0.166992
734,-0.112793,0.978516,0.147949
735,-0.114258,0.974609,0.142578
736,-0.067383,0.983887,0.166504
737,0.012207,0.95459,0.193359
738,0.087402,0.962891,0.196289
