Timestamp,X_Mag_Ga,Y_Mag_Ga,Z_Mag_Ga
621,-0.035036,-0.063504,0.216058
622,-0.045255,-0.053285,0.210949
623,-0.051825,-0.050365,0.208029
624,-0.057664,-0.042336,0.2
625,-0.062044,-0.034307,0.192701
626,-0.067883,-0.019708,0.170803
627,-0.079562,-0.005109,0.143066
628,-0.085401,0.00219,0.113869
629,-0.086131,0.005109,0.1
630,-0.083212,0.005109,0.086861
631,-0.085401,0.00438,0.075182
632,-0.087591,0.00365,0.059124
633,-0.094891,0.00146,0.039416
634,-0.1,-0.005839,0.012409
635,-0.105109,-0.016058,-0.008759
636,-0.105839,-0.025547,-0.026277
637,-0.106569,-0.035766,-0.041606
638,-0.109489,-0.045985,-0.052555
639,-0.114599,-0.058394,-0.066423
640,-0.123358,-0.079562,-0.083212
641,-0.131387,-0.09854,-0.094161
642,-0.135766,-0.113869,-0.10219
643,-0.143796,-0.135036,-0.110219
644,-0.150365,-0.162044,-0.118978
645,-0.160584,-0.189051,-0.122628
646,-0.164964,-0.215328,-0.122628
647,-0.170073,-0.250365,-0.119708
648,-0.167883,-0.285401,-0.114599
649,-0.164234,-0.311679,-0.105109
650,-0.153285,-0.333577,-0.09927
651,-0.140876,-0.359124,-0.085401
652,-0.128467,-0.377372,-0.070073
653,-0.115328,-0.39781,-0.051825
654,-0.105839,-0.412409,-0.032847
655,-0.105109,-0.419708,-0.021898
656,-0.10146,-0.427007,-0.009489
657,-0.09927,-0.429927,-0.00146
658,-0.086861,-0.435036,0.015328
659,-0.060584,-0.437226,0.039416
660,-0.044526,-0.436496,0.056204
661,-0.021168,-0.427007,0.084672
662,-0.00146,-0.414599,0.107299
663,0.009489,-0.40438,0.120438
664,0.020438,-0.391971,0.136496
665,0.036496,-0.370073,0.154015
666,0.051825,-0.345985,0.163504
667,0.064234,-0.319708,0.167883
668,0.077372,-0.289781,0.172263
669,0.082482,-0.270073,0.173723
670,0.089051,-0.243066,0.170803
671,0.093431,-0.217518,0.165693
672,0.09562,-0.20219,0.162774
673,0.09635,-0.179562,0.155474
674,0.09562,-0.159124,0.145985
675,0.092701,-0.137956,0.132117
676,0.088321,-0.119708,0.123358
677,0.083212,-0.105839,0.113869
678,0.074453,-0.089781,0.10073
679,0.071533,-0.086861,0.09781
680,0.067153,-0.078832,0.090511
681,0.057664,-0.066423,0.067883
682,0.048175,-0.062044,0.036496
683,0.027737,-0.060584,-0.00146
