Timestamp,X_Mag_Raw,Y_Mag_Raw,Z_Mag_Raw
330,0.059124,-0.085401,0.120438
331,0.065693,-0.091241,0.112409
332,0.077372,-0.10292,0.086131
333,0.084672,-0.116058,0.069343
334,0.089781,-0.129197,0.048175
335,0.091241,-0.145255,0.027737
336,0.089781,-0.163504,0.00438
337,0.086861,-0.180292,-0.010949
338,0.081022,-0.19562,-0.031387
339,0.050365,-0.205109,-0.070803
340,0.023358,-0.210949,-0.094891
341,-0.007299,-0.210949,-0.113139
342,-0.024818,-0.212409,-0.121898
343,-0.040146,-0.209489,-0.127737
344,-0.052555,-0.205109,-0.131387
345,-0.064964,-0.19708,-0.134307
346,-0.070073,-0.186861,-0.134307
347,-0.075912,-0.178102,-0.135766
348,-0.078832,-0.162774,-0.133577
349,-0.079562,-0.141606,-0.129927
350,-0.081022,-0.120438,-0.124088
351,-0.082482,-0.10438,-0.115328
352,-0.083942,-0.088321,-0.108759
353,-0.083942,-0.075912,-0.10073
354,-0.075912,-0.067153,-0.093431
355,-0.068613,-0.052555,-0.081022
356,-0.066423,-0.040876,-0.068613
357,-0.059854,-0.029927,-0.054745
358,-0.054015,-0.019708,-0.040146
359,-0.045255,-0.011679,-0.023358
360,-0.042336,-0.005109,-0.007299
361,-0.037226,0.00073,0.012409
362,-0.029927,0.00292,0.026277
363,-0.029197,0.00438,0.038686
364,-0.018248,0.00219,0.061314
365,-0.00365,-0.005109,0.086861
366,0.00292,-0.014599,0.116788
367,0.012409,-0.031387,0.148175
368,0.014599,-0.050365,0.175912
369,0.012409,-0.068613,0.19708
370,0.009489,-0.084672,0.213869
371,0.00146,-0.1,0.228467
372,-0.009489,-0.112409,0.242336
373,-0.023358,-0.124818,0.254015
374,-0.036496,-0.135036,0.262044
375,-0.045985,-0.148175,0.269343
376,-0.051825,-0.150365,0.272993
377,-0.078832,-0.159124,0.280292
378,-0.105109,-0.166423,0.286131
379,-0.140876,-0.164234,0.284672
380,-0.167883,-0.163504,0.281022
381,-0.190511,-0.155474,0.273723
382,-0.205839,-0.150365,0.267153
383,-0.220438,-0.145985,0.258394
384,-0.235036,-0.134307,0.246715
385,-0.245255,-0.128467,0.237956
386,-0.252555,-0.129927,0.233577
387,-0.248905,-0.124088,0.231387
388,-0.243796,-0.108759,0.226277
389,-0.233577,-0.094161,0.219708
390,-0.226277,-0.081022,0.215328
391,-0.234307,-0.078102,0.207299
392,-0.233577,-0.074453,0.20219
393,-0.228467,-0.068613,0.2
394,-0.218978,-0.064234,0.2
395,-0.214599,-0.060584,0.19854
396,-0.19854,-0.051825,0.19708
397,-0.150365,-0.034307,0.19562
398,-0.09562,-0.027007,0.184672
399,-0.055474,-0.031387,0.176642
400,-0.033577,-0.043796,0.178102
401,-0.010949,-0.053285,0.174453
402,0.005839,-0.062774,0.170073
403,0.028467,-0.072993,0.159854
404,0.043796,-0.081752,0.144526
405,0.056934,-0.091971,0.132847
406,0.074453,-0.111679,0.118978
407,0.090511,-0.141606,0.113139
408,0.10292,-0.180292,0.090511
409,0.106569,-0.224818,0.064964
410,0.09708,-0.281752,0.057664
411,0.072263,-0.332847,0.053285
412,0.056204,-0.356204,0.044526
413,0.037956,-0.373723,0.040876
414,0.014599,-0.39562,0.034307
415,-0.012409,-0.411679,0.032847
416,-0.031387,-0.418978,0.024088
417,-0.056204,-0.427737,0.018248
418,-0.090511,-0.431387,0.005109
419,-0.117518,-0.435036,0.007299
420,-0.146715,-0.432117,0.00365
421,-0.181752,-0.416058,-0.016058
422,-0.20438,-0.40292,-0.023358
423,-0.223358,-0.389781,-0.029197
424,-0.235766,-0.374453,-0.037226
425,-0.240146,-0.356204,-0.051095
426,-0.249635,-0.339416,-0.058394
