Timestamp,X_Mag_Ga,Y_Mag_Ga,Z_Mag_Ga linked with dados_mag_25_08_full
703,-0.30292,-0.124088,0.007299
704,-0.305839,-0.118978,0.018978
705,-0.29635,-0.09635,0.032847
706,-0.287591,-0.082482,0.033577
707,-0.274453,-0.066423,0.037956
708,-0.260584,-0.049635,0.041606
709,-0.236496,-0.027737,0.056934
710,-0.217518,-0.013869,0.075912
711,-0.20365,-0.005839,0.082482
712,-0.189781,-0.00073,0.09854
713,-0.177372,0.00292,0.110219
714,-0.167153,0.00438,0.120438
715,-0.168613,0.00292,0.118248
716,-0.173723,0.00146,0.116058
717,-0.191241,-0.00365,0.110219
718,-0.216058,-0.013869,0.1
719,-0.243066,-0.031387,0.094891
720,-0.256204,-0.040876,0.088321
