Timestamp,X_Mag_Ga,Y_Mag_Ga,Z_Mag_Ga
638,-0.005839,-0.39635,0.226277
639,0.059854,-0.347445,0.220438
640,0.108759,-0.262044,0.206569
641,0.10073,-0.19854,0.211679
642,0.075182,-0.165693,0.227007
643,0.043796,-0.127737,0.232117
644,-0.030657,-0.110219,0.252555
645,-0.062044,-0.129927,0.270073
646,-0.10073,-0.157664,0.281022
647,-0.115328,-0.213869,0.293431
648,-0.10438,-0.274453,0.29562
649,-0.064964,-0.316058,0.285401
650,-0.076642,-0.349635,0.273723
651,-0.077372,-0.360584,0.267153
652,-0.072993,-0.367153,0.262774
653,-0.055474,-0.350365,0.268613
654,-0.010219,-0.321168,0.272993
655,0.037956,-0.256934,0.265693
656,0.048905,-0.215328,0.258394
657,0.058394,-0.144526,0.227737
658,-0.015328,-0.069343,0.210949
659,-0.083942,-0.063504,0.215328
660,-0.131387,-0.070803,0.213139
661,-0.162044,-0.124088,0.249635
662,-0.216788,-0.219708,0.254745
663,-0.161314,-0.344526,0.262044
664,-0.063504,-0.348175,0.272993
665,0.062044,-0.338686,0.223358
666,0.094161,-0.276642,0.218248
667,0.079562,-0.231387,0.235766
668,0.029197,-0.170803,0.259854
669,-0.00073,-0.153285,0.264964
670,-0.037956,-0.115328,0.255474
671,-0.194161,-0.129927,0.234307
672,-0.251095,-0.230657,0.226277
673,-0.183942,-0.361314,0.241606
674,-0.091971,-0.389781,0.248175
675,-0.030657,-0.383212,0.245985
676,0.039416,-0.316788,0.252555
677,0.054015,-0.208759,0.254745
678,-0.029927,-0.127737,0.262774
679,-0.105109,-0.124818,0.264964
680,-0.193431,-0.148905,0.247445
681,-0.226277,-0.181022,0.237956
682,-0.233577,-0.241606,0.245255
683,-0.218978,-0.291241,0.249635
684,-0.224818,-0.307299,0.240876
685,-0.213869,-0.327007,0.241606
686,-0.070803,-0.377372,0.257664
687,0.010949,-0.330657,0.261314
688,0.046715,-0.254015,0.262774
689,0.027737,-0.171533,0.259854
690,-0.010219,-0.114599,0.248175
691,-0.076642,-0.10073,0.251825
692,-0.129197,-0.107299,0.248175
693,-0.185401,-0.170803,0.261314
694,-0.220438,-0.213139,0.250365
695,-0.229927,-0.236496,0.245255
696,-0.232117,-0.260584,0.243066
697,-0.218248,-0.325547,0.237956
698,-0.126277,-0.386861,0.246715
699,-0.013139,-0.314599,0.277372
700,-0.00146,-0.216058,0.283942
701,-0.106569,-0.075182,0.226277
702,-0.159854,-0.070803,0.20073
703,-0.241606,-0.125547,0.181022
704,-0.265693,-0.164964,0.183942
705,-0.274453,-0.262774,0.19927
706,-0.183942,-0.342336,0.255474
707,-0.09927,-0.390511,0.249635
708,-0.037956,-0.386131,0.247445
709,-0.008759,-0.376642,0.245255
710,0.016058,-0.351095,0.250365
711,0.086861,-0.270073,0.230657
712,0.048175,-0.10073,0.205839
713,-0.049635,-0.048175,0.194891
714,-0.110219,-0.049635,0.193431
715,-0.164234,-0.068613,0.194161
716,-0.241606,-0.121168,0.178832
717,-0.281752,-0.182482,0.163504
718,-0.289051,-0.255474,0.174453
719,-0.275182,-0.257664,0.19854
720,-0.231387,-0.20219,0.243066
721,-0.20438,-0.152555,0.243796
722,-0.216058,-0.171533,0.245255
723,-0.235766,-0.213869,0.243066
724,-0.248905,-0.225547,0.232847
725,-0.251825,-0.188321,0.219708
726,-0.242336,-0.144526,0.20365
727,-0.218978,-0.090511,0.172993
728,-0.166423,-0.049635,0.160584
729,-0.124818,-0.031387,0.148175
